"Risk_Type","Lag","mean_sim","sd_sim","q025","q975"
"Climate",-5,0.272000122783278,0.0370703626193684,0.197455525085073,0.343595947809098
"Climate",-4,-0.000229751437225112,0.0481970744941216,-0.0962571356661229,0.095562741290023
"Climate",-3,-0.000173492882028231,0.0611795906350263,-0.12340529167183,0.123867624165743
"Climate",-2,-0.000265088112177375,0.0892466368285702,-0.183591462788665,0.166054938947591
"Climate",-1,-0.000449278781125105,0.331312630126217,-0.667397516144947,0.623283517647128
"Climate",1,-0.00223860837074184,0.343329499027591,-0.67203659607661,0.642967847828971
"Climate",2,-0.000123066582367816,0.091400358638593,-0.176509969638032,0.172829430893081
"Climate",3,-0.045777495121404,0.0622070708277714,-0.164067588699081,0.0740158921756379
"Climate",4,-0.237540326809368,0.0471888936278934,-0.329497788194439,-0.148091555021612
"Climate",5,-0.293339851921577,0.0379015597260444,-0.36599247298775,-0.220774923810964
"Diseases",-5,0.538572615557437,0.104677124122049,0.323502169819642,0.741442836587374
"Diseases",-4,0.00467270126556872,0.175470620634278,-0.344072580720045,0.347230877964946
"Diseases",-3,0.0058309303839628,0.195323258231774,-0.383986467250251,0.387324733977353
"Diseases",-2,0.0247295373035347,0.651109629915998,-1.24593917379345,1.22465374527315
"Diseases",-1,0.0251107688987844,0.539895839039507,-1.05266961464348,1.04440322885553
"Diseases",1,0.00293577009254602,0.536174994638067,-1.03600033969807,1.04315389659062
"Diseases",2,0.0127092806061469,0.647679699399848,-1.26528328286612,1.24391904431734
"Diseases",3,0.00399143783709368,0.194283618270701,-0.384736841732793,0.378624887901871
"Diseases",4,0.00237052272395393,0.177712222233029,-0.364611575526676,0.346422065163626
"Diseases",5,0.00178188988471037,0.12041791004826,-0.242920252481126,0.229348895731373
"Economic",-5,0.369637895789597,0.0367469749642503,0.296738574654468,0.44008349834947
"Economic",-4,0.000280724371616358,0.0795753426754893,-0.156866113055396,0.155507269457673
"Economic",-3,-0.000193365064722439,0.102384745797577,-0.202522134668168,0.203992290910696
"Economic",-2,-0.00322166479384185,0.426834735721377,-0.790432033096653,0.795091881361204
"Economic",-1,-0.00529575401043843,0.39349710956106,-0.759974855132356,0.724249477780488
"Economic",1,0.00720806191867431,0.401666137537483,-0.749143794542299,0.778505561125668
"Economic",2,0.00552537171936125,0.437489138392345,-0.800395750600075,0.830137110865349
"Economic",3,-0.000366723441312451,0.101604012326699,-0.197065466733086,0.197394630450837
"Economic",4,-0.00135283440260512,0.0773557847982646,-0.15322336728251,0.146955522657828
"Economic",5,-0.00103657761117758,0.0467828483782556,-0.0928023207030785,0.0903648196339745
"Food",-5,0.46320970230651,0.374849777111499,-0.278802283432604,1.15903031981692
"Food",-4,0.02562680549405,0.525335398996954,-0.948148212380066,1.02882329574513
"Food",-3,0.0211281567078943,0.533779803406425,-0.967352405492222,1.06237622731316
"Food",-2,0.023309829914247,0.712801451359544,-1.26894473004281,1.37645362125793
"Food",-1,0.0133167324490849,0.65898055393554,-1.23683398337676,1.29107974267141
"Food",1,0.016845320164561,0.73602059023954,-1.32738708508833,1.45035032910833
"Food",2,0.0348360711743952,0.812304717363631,-1.42543257427698,1.54558892576114
"Food",3,0.0257515196004152,0.506629836326755,-0.869544611188836,1.06146262111676
"Food",4,0.0239248212587504,0.430363314347647,-0.766068414345168,0.884577946992302
"Food",5,0.0202026293548092,0.306845313445455,-0.559359383713685,0.65234270019123
"GeoConflict",-5,0.0967411033504428,0.0786273951174977,-0.0577300147884062,0.252736800658955
"GeoConflict",-4,0.000465410505201995,0.115802649363843,-0.220934370664665,0.226608971797294
"GeoConflict",-3,-0.000703596200810727,0.193535704818542,-0.375833182326683,0.368781187623787
"GeoConflict",-2,-0.0117817073298899,0.795005623051389,-1.5175386891369,1.56333182231887
"GeoConflict",-1,-0.0162463652151173,0.702868775698074,-1.36462670859806,1.36365518135334
"GeoConflict",1,-0.00886060493902778,0.691069575725918,-1.30904397282879,1.34842740224779
"GeoConflict",2,-0.00827852810279089,0.787308310260934,-1.41442807943356,1.49385546211967
"GeoConflict",3,-0.0025857731480407,0.198646463135881,-0.37890903962365,0.383553455883875
"GeoConflict",4,0.699302812134453,0.100640947106102,0.497493673801697,0.884087416596926
"GeoConflict",5,0.577808951576773,0.0630661457457483,0.454889766823241,0.69222499616358
"Geophysical",-5,0.0546391830076004,0.0922265188283863,-0.123081670846496,0.232819985010091
"Geophysical",-4,0.000894572719396726,0.112412754375857,-0.210664648613728,0.214133193595922
"Geophysical",-3,0.00146057813484743,0.140461405730735,-0.270638921888204,0.271087301830182
"Geophysical",-2,0.00307404551543147,0.186555464774435,-0.352487908912938,0.364017083228271
"Geophysical",-1,0.00469900582332654,0.255797030288507,-0.481995253677007,0.50880048307558
"Geophysical",1,0.00264339728625644,0.260349407397707,-0.491574503435944,0.508144471097601
"Geophysical",2,0.0017694288671434,0.191179097712238,-0.373462233756342,0.354954167297344
"Geophysical",3,-0.0144352208234678,0.143265903040494,-0.293228713030163,0.257002376108253
"Geophysical",4,-0.129498989994403,0.112221501721689,-0.349869711641746,0.0841988643204279
"Geophysical",5,-0.174161014568627,0.0903877306525871,-0.351342705999133,-0.000727115138720651
"Tech",-5,0.19728019112685,0.0362385663931843,0.128688088472055,0.2698368085668
"Tech",-4,0.00024761166835466,0.0464236149359012,-0.0886363450837599,0.0922277798939233
"Tech",-3,0.000311784442008815,0.0591862335464362,-0.113246448859758,0.117904590321274
"Tech",-2,-0.000800746334897602,0.0915455589756807,-0.172888368818204,0.172363148071723
"Tech",-1,-0.00449716649136592,0.317435459934403,-0.609933692087946,0.624398356275517
"Tech",1,0.00665491080736584,0.338019226758929,-0.673595426783169,0.652302843291116
"Tech",2,0.00182413473852157,0.0946654775301671,-0.181036014828557,0.181895755117114
"Tech",3,-0.033729613662175,0.0607417079642526,-0.148131107069786,0.0851764583746053
"Tech",4,-0.162706789473829,0.0452659503768066,-0.250973451115434,-0.0718682727025202
"Tech",5,-0.201584373668711,0.03590080045492,-0.269461492567221,-0.130568258755265
"Terror",-5,0.144023793110647,0.20251228224087,-0.265558898082749,0.512508020768937
"Terror",-4,-0.0014851128260448,0.28557042333971,-0.556318488338857,0.529248217947985
"Terror",-3,-0.00193155840004623,0.30521512962913,-0.601102167150061,0.558673177812836
"Terror",-2,0.008580270130326,0.462359096241931,-0.865166534859997,0.842445873913592
"Terror",-1,0.00753786891491817,0.40242007012544,-0.778238631729809,0.756182793168203
"Terror",1,0.0109141404898378,0.413955804964594,-0.778403756173826,0.825634991062132
"Terror",2,0.0101105230289956,0.458597182979205,-0.84393309887493,0.832483643284532
"Terror",3,0.00854954683274867,0.295283568508985,-0.567988516180193,0.551873378976199
"Terror",4,0.00955063855688426,0.284876599272191,-0.524233039066748,0.539826192744236
"Terror",5,0.00729295462557555,0.208607904147718,-0.378097902541032,0.408558072477259
