"Region","Risk_Type","Lag","mean_sim","sd_sim","q025","q975"
"LIC","Terror",5,-0.0170322118564722,0.342965842727248,-0.631261543479694,0.65722363323167
"LMC","Climate",-5,0.271154012704296,0.068227530493277,0.1283178992467,0.401188255333087
"LMC","Climate",-4,0.000313056504452669,0.0886031359687346,-0.183418052301522,0.173428193747553
"LMC","Climate",-3,0.000554073778297718,0.112130624695923,-0.226808613427669,0.219332365153142
"LMC","Climate",-2,-0.000330911685082058,0.159011990027563,-0.332994459406448,0.303990373707192
"LMC","Climate",-1,-0.00203758987864315,0.341015611490682,-0.683484509247455,0.64576537126266
"LMC","Climate",1,-0.00582634069805784,0.340157644840885,-0.664211638852795,0.647158917819223
"LMC","Climate",2,0.00084508032080453,0.159675142162381,-0.318967420067151,0.326162921499443
"LMC","Climate",3,-0.0437198310817376,0.113159683465781,-0.267490426920935,0.183579145840679
"LMC","Climate",4,-0.233642939134156,0.0864946015234031,-0.407630948055131,-0.0603115218055709
"LMC","Climate",5,-0.2904373945149,0.0699558729360748,-0.43027092763397,-0.148056303649974
"LMC","Diseases",-5,0.512462668904298,0.20659405277789,0.103674497739232,0.896093522582461
"LMC","Diseases",-4,-0.0132082695700485,0.327926532960242,-0.646149065754948,0.618123375437815
"LMC","Diseases",-3,-0.0147286475455871,0.355838328397711,-0.702184229235896,0.688866034979874
"LMC","Diseases",-2,-0.0167591067344311,0.650799682322354,-1.30479830344168,1.20269144506794
"LMC","Diseases",-1,-0.0116238393873614,0.536135202084524,-1.07858144108515,0.989486869181366
"LMC","Diseases",1,-0.00421440521022767,0.52929303282621,-1.06595526032315,1.01606846217546
"LMC","Diseases",2,-0.00322609173637779,0.649511354921378,-1.28228892606197,1.28664887784422
"LMC","Diseases",3,-0.00276483669945539,0.356586429519711,-0.683852939713984,0.727573627800273
"LMC","Diseases",4,-0.00294886518837071,0.331565079667789,-0.669842633253348,0.656862853814275
"LMC","Diseases",5,-0.00336032995787491,0.235197600668385,-0.474755415867573,0.458338570928642
"LMC","Economic",-5,0.363973717570011,0.0625528760384897,0.241564769483157,0.481048345122024
"LMC","Economic",-4,-0.000350150764519926,0.13116847216659,-0.245986746036803,0.243651588938232
"LMC","Economic",-3,-0.0017835425278391,0.164782404379114,-0.31578632672548,0.315985644148583
"LMC","Economic",-2,-0.00286776495972164,0.4328430090474,-0.838697509538142,0.783789234909748
"LMC","Economic",-1,-0.00485155513484247,0.390763057572548,-0.773234526295061,0.700801291015534
"LMC","Economic",1,0.00142210996611189,0.40040892509045,-0.802658104994243,0.773103431128032
"LMC","Economic",2,0.0208400509196951,0.431698388832583,-0.806922385450074,0.811752003810749
"LMC","Economic",3,0.00706184726580353,0.159350968669254,-0.308319114431482,0.309387994529412
"LMC","Economic",4,0.00389373272342876,0.124653810324311,-0.238365866760166,0.241172115473157
"LMC","Economic",5,0.00152853558939026,0.0769896171941685,-0.145651058104557,0.151377976923795
"LMC","Food",-5,0.37303141016446,0.605270883329568,-0.778441889876945,1.39010524977833
"LMC","Food",-4,-0.00713700838589827,0.738286450369639,-1.23505934122537,1.31608248399206
"LMC","Food",-3,-0.00948578138697393,0.713661846679057,-1.23158106510819,1.31487154134108
"LMC","Food",-2,-0.0108293419095137,0.707889744763027,-1.25637608889443,1.33969655722388
"LMC","Food",-1,-0.0174084061928636,0.651346623068426,-1.23888426579725,1.2489614413385
"LMC","Food",1,-0.0152838251298535,0.765021707140926,-1.36169210562382,1.52731619913979
"LMC","Food",2,0.00424703327165333,0.843275737626547,-1.41174298379404,1.73907719804177
"LMC","Food",3,-0.00577592194182114,0.714865150702408,-1.21506726485108,1.42500213997898
"LMC","Food",4,0.00414270758515763,0.657061706512812,-1.11671446896336,1.30896853372235
"LMC","Food",5,0.00959730593568864,0.540750947367525,-0.938808804235147,1.12148560109006
"LMC","GeoConflict",-5,0.0980036353002094,0.155124984799257,-0.208772869750888,0.387513606230594
"LMC","GeoConflict",-4,0.00448611454724181,0.225345892661301,-0.421564550347949,0.434757444629378
"LMC","GeoConflict",-3,0.0070261240315215,0.356521472417828,-0.661626857410271,0.686154992928488
"LMC","GeoConflict",-2,0.00447391142015532,0.799817455470014,-1.57490907199016,1.53898285277459
"LMC","GeoConflict",-1,0.0122030529451185,0.710068941833298,-1.38033308224956,1.33008062298709
"LMC","GeoConflict",1,-0.00240421792928697,0.707711450222141,-1.35793575845155,1.3779214294807
"LMC","GeoConflict",2,-0.02276258784365,0.771098151346659,-1.49251893495239,1.47436924856938
"LMC","GeoConflict",3,-0.00539324376390547,0.358742696352518,-0.712673908553878,0.70716508454366
"LMC","GeoConflict",4,0.674775121290969,0.188147542010043,0.32628444094654,1.03544844953849
"LMC","GeoConflict",5,0.566370688905086,0.120910145631571,0.333591671814894,0.802619310913543
"LMC","Geophysical",-5,0.0560523463991346,0.187339788417471,-0.311344958600622,0.404040929771294
"LMC","Geophysical",-4,0.00732878470386211,0.222162001355295,-0.409368759878478,0.421602349863138
"LMC","Geophysical",-3,0.0084613154284986,0.25650462491264,-0.477411369452054,0.480034453355112
"LMC","Geophysical",-2,0.00825146851546149,0.28368697756655,-0.547022895012563,0.527856139936916
"LMC","Geophysical",-1,0.00622469618948894,0.258665630840882,-0.505476035926944,0.485045708627332
"LMC","Geophysical",1,0.00772210905709059,0.26182123197212,-0.521611919147982,0.499374266077985
"LMC","Geophysical",2,0.00853371332737224,0.288483297833002,-0.576935063737436,0.549049231820925
"LMC","Geophysical",3,-0.00608554176176725,0.25955836557344,-0.520805258606575,0.470397485877491
"LMC","Geophysical",4,-0.1135033729467,0.220104627868917,-0.537074877612677,0.3038809321799
"LMC","Geophysical",5,-0.160686008293532,0.185302184940704,-0.518221497417152,0.19460205740769
"LMC","Tech",-5,0.195810825739854,0.0581965176507241,0.0753712842514163,0.305161244009078
"LMC","Tech",-4,0.000278431530559054,0.0732015857683281,-0.143786731611425,0.140196742645304
"LMC","Tech",-3,0.00112657586256937,0.0930630034390822,-0.182026192804237,0.175988379978026
"LMC","Tech",-2,0.00402270902246929,0.136111132973221,-0.265038956194539,0.272501157087735
"LMC","Tech",-1,0.0171861575298136,0.33836922536012,-0.652319676591472,0.664393136073092
"LMC","Tech",1,-0.00722252102995973,0.329048107864768,-0.645128233952243,0.603170134664008
"LMC","Tech",2,-0.00190674791094593,0.132681689301728,-0.273998532842837,0.24821328510779
"LMC","Tech",3,-0.0330954616408308,0.0900371049851496,-0.212041651387064,0.139527515371052
"LMC","Tech",4,-0.160421365602424,0.0681572959508155,-0.289807223086037,-0.0208779308400487
"LMC","Tech",5,-0.199649845183642,0.054427763865371,-0.30072227027727,-0.0886741318661529
"LMC","Terror",-5,0.132817584720507,0.269009556680481,-0.395231721124413,0.624846090516527
"LMC","Terror",-4,-0.00407447160883857,0.3624155824935,-0.675618837210618,0.68407351845926
"LMC","Terror",-3,-0.00147736680441765,0.375102201701105,-0.706854547458533,0.704358980008176
"LMC","Terror",-2,-0.000706952666056307,0.476968488593947,-0.912128810106771,0.910084379279271
"LMC","Terror",-1,-0.00456000662625963,0.410513271269325,-0.806888388303424,0.770163660551222
"LMC","Terror",1,0.00156904527977993,0.424589281102223,-0.805306969422373,0.845800011752048
"LMC","Terror",2,0.00746049062484668,0.470943631176288,-0.879355438725482,0.887563570518093
"LMC","Terror",3,0.00528687718375844,0.367839964978998,-0.671561906453616,0.70123298074833
"LMC","Terror",4,0.00351426840097596,0.353527372257847,-0.650444368631411,0.668256036883378
"LMC","Terror",5,0.00315102428503188,0.278305071169119,-0.50732349292639,0.539107226209692
"UMC","Climate",-5,0.270731002472759,0.073731802119539,0.12953768757785,0.41459705938512
"UMC","Climate",-4,9.41016464302136e-06,0.0953198149328352,-0.183895461359219,0.180405432236846
"UMC","Climate",-3,0.000510165601811498,0.119810048059742,-0.227189663704106,0.226133471652242
"UMC","Climate",-2,0.00102213779103524,0.168037748061612,-0.320757919928762,0.313118060514789
"UMC","Climate",-1,0.00816073023830998,0.338603224857153,-0.640299428647467,0.635670624783901
"UMC","Climate",1,-0.00463247922766795,0.341554571038099,-0.662705979409272,0.636064795350483
"UMC","Climate",2,-0.00234952423507126,0.173399817284907,-0.335406906356903,0.329910826648297
"UMC","Climate",3,-0.0455801740415242,0.122936616178106,-0.277400067749969,0.193778812140731
"UMC","Climate",4,-0.235363892402508,0.0941320385908629,-0.419518598265689,-0.0505298082079437
"UMC","Climate",5,-0.291870606274183,0.0758999899623063,-0.437242754314874,-0.147226909370776
"UMC","Diseases",-5,0.51744188090697,0.208513757855249,0.0934564305163663,0.902645096454543
"UMC","Diseases",-4,-0.00308196018514009,0.331974582205803,-0.641946909713904,0.631554806676713
"UMC","Diseases",-3,-0.00164018983368575,0.359475575677105,-0.681364627260622,0.663974565069404
"UMC","Diseases",-2,0.0005875857395836,0.656150432257828,-1.27062671747536,1.1987211004468
"UMC","Diseases",-1,-0.00205002837423426,0.541291110616258,-1.07906432974558,1.01246692796919
"UMC","Diseases",1,0.00639611953254578,0.535869669821978,-1.07052543589459,1.01559379138254
"UMC","Diseases",2,0.00206157041449357,0.651560044570882,-1.25861376202284,1.21142524835863
"UMC","Diseases",3,-0.000592544604052866,0.360587091817816,-0.706152455970683,0.687374741174139
"UMC","Diseases",4,-0.00132642336747693,0.338167140244898,-0.707444774807059,0.628896663790536
"UMC","Diseases",5,-0.00120363744310576,0.241296666030749,-0.497646454008196,0.466950547386184
"UMC","Economic",-5,0.354465779062236,0.0815491119360322,0.191792076920103,0.5040579344314
"UMC","Economic",-4,-0.00586886386600332,0.166746658955826,-0.316177455651847,0.317622183063295
"UMC","Economic",-3,-0.00429892504693566,0.206416529508588,-0.400825583015847,0.400059899240607
"UMC","Economic",-2,-0.00891782722401596,0.429514663207717,-0.821993281767232,0.797409749632585
"UMC","Economic",-1,-0.00768781048694079,0.392879485053792,-0.757829552814034,0.735765953962259
"UMC","Economic",1,-0.011342285213664,0.39562107509702,-0.779625888392353,0.737134025818476
"UMC","Economic",2,-0.015014512622533,0.422641552281589,-0.820450766307811,0.777878958680731
"UMC","Economic",3,-0.00829708120764097,0.203314481190555,-0.40098738739261,0.378495272934485
"UMC","Economic",4,-0.00472613472275965,0.16387757616643,-0.330718788188301,0.30049267676717
"UMC","Economic",5,-0.00258244279992888,0.105868366834668,-0.219543406989069,0.19898083038624
"UMC","Food",-5,0.424394838348813,0.557247714980758,-0.641807611265718,1.36015317362937
"UMC","Food",-4,0.0342582221665691,0.704774643545479,-1.20935731871353,1.31739546120595
"UMC","Food",-3,0.028127725802803,0.68900560589946,-1.18098950028912,1.28822817864078
"UMC","Food",-2,0.0315635474721853,0.719339993188908,-1.25914885846828,1.36616594183676
"UMC","Food",-1,0.0256356863872857,0.647934042099225,-1.23087414465483,1.28756422430381
"UMC","Food",1,0.0137899964528753,0.765659052405456,-1.31247185686295,1.57081284016457
"UMC","Food",2,0.0133824334837013,0.838961085701549,-1.46284175849018,1.65571345470106
"UMC","Food",3,0.0308837565128525,0.685889911946269,-1.12337282913348,1.39666896711104
"UMC","Food",4,0.0387395389638028,0.614194300778856,-1.05235851742114,1.2621589156449
"UMC","Food",5,0.0440707153443166,0.487419246615165,-0.814839823764207,1.01576152122623
"UMC","GeoConflict",-5,0.0961118553734487,0.185817437343708,-0.267039234902612,0.444843921830243
"UMC","GeoConflict",-4,0.00635314942127022,0.261774505185841,-0.496619459560642,0.51922832297526
"UMC","GeoConflict",-3,0.00803223523847914,0.402807973665716,-0.745876159323538,0.776102451727922
"UMC","GeoConflict",-2,0.0177957488572266,0.787693426613293,-1.5020772695693,1.54825355836221
"UMC","GeoConflict",-1,0.00377753648195973,0.703108351585933,-1.36622704344966,1.43372259475764
"UMC","GeoConflict",1,0.0104022302786174,0.694346656544024,-1.30728643384193,1.36447127672442
"UMC","GeoConflict",2,0.012273241466035,0.784699712731078,-1.48491883232044,1.46634659870185
"UMC","GeoConflict",3,0.00586808329306162,0.412687282681429,-0.786835274822444,0.792642738862153
"UMC","GeoConflict",4,0.672068742021546,0.226281352696461,0.235128423817066,1.09794892088365
"UMC","GeoConflict",5,0.568071114744618,0.146921324423693,0.281996587396305,0.849271657015087
"UMC","Geophysical",-5,0.054708824882136,0.121904418254096,-0.173796330118547,0.289342694388274
"UMC","Geophysical",-4,0.000216859725502961,0.148969525810366,-0.287791281200169,0.29086497091179
"UMC","Geophysical",-3,0.000833580780176485,0.182667092893082,-0.344225821180897,0.350883457652698
"UMC","Geophysical",-2,-0.000723219609749202,0.230090807073956,-0.44484628764066,0.448357964155123
"UMC","Geophysical",-1,0.00168538766479612,0.263323603117659,-0.511101585791189,0.519130297989136
"UMC","Geophysical",1,-0.00601568897576023,0.263051704640449,-0.517026102119159,0.507326041662218
"UMC","Geophysical",2,-0.00778627519892244,0.231795150374958,-0.446935812968718,0.446261162311031
"UMC","Geophysical",3,-0.0207601502853815,0.184582626245218,-0.375709962576365,0.344495223276785
"UMC","Geophysical",4,-0.131512698028537,0.146465037448299,-0.418790951876373,0.154142316689843
"UMC","Geophysical",5,-0.17576703909806,0.119155427156403,-0.406778232847199,0.0552144394218575
"UMC","Tech",-5,0.196681596000277,0.0683256332702448,0.0558093328174177,0.325990301312076
"UMC","Tech",-4,0.00280732909624137,0.0856423734023651,-0.161638036285056,0.162992994117783
"UMC","Tech",-3,0.00304908549915086,0.107521464281687,-0.199610305016966,0.201028293812202
"UMC","Tech",-2,0.00480064298968783,0.153819621503519,-0.297101362986686,0.295871122657765
"UMC","Tech",-1,0.000588703577253367,0.325903421255599,-0.639281631063596,0.63916053617441
"UMC","Tech",1,0.0148335833595613,0.334875572861744,-0.636580168511936,0.669748653448889
"UMC","Tech",2,0.0013599057041063,0.15324292159601,-0.300989973789039,0.301295806868753
"UMC","Tech",3,-0.032641833130872,0.105875553598512,-0.238372100541018,0.170678590323688
"UMC","Tech",4,-0.160740806214073,0.0817093745879325,-0.316577777783842,-0.00385890855857827
"UMC","Tech",5,-0.199704928024312,0.0651879672973525,-0.325982482696234,-0.0767661246067756
"UMC","Terror",-5,0.118887999944014,0.347189282080104,-0.529980402724549,0.742843532773884
"UMC","Terror",-4,-0.00428835296200797,0.422255252957944,-0.783421934864593,0.769420891390867
"UMC","Terror",-3,-0.0062156461869736,0.428982863822417,-0.802103768045187,0.801204405035456
"UMC","Terror",-2,-0.00953396859130234,0.462775884417369,-0.880841160843522,0.862717338828753
"UMC","Terror",-1,-0.0114943318085244,0.402021159270599,-0.797045485773926,0.740908680425109
"UMC","Terror",1,-0.00610568947639763,0.401245822528897,-0.829220701850296,0.768647470582057
"UMC","Terror",2,0.00656476258543949,0.452491196148001,-0.883880838741975,0.826284089886726
"UMC","Terror",3,0.00351651777828957,0.420231711620777,-0.793768158483154,0.775368861993497
"UMC","Terror",4,0.00372985535308597,0.430056544501551,-0.761212840725841,0.79282979234831
"UMC","Terror",5,0.00315834281896216,0.367442524985371,-0.655835349430219,0.685299806189091
